Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Pakistan,PAK,"Informal employment, male (% of total non-agricultural employment)",SL.ISV.IFRM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.41999817,67.75,69.55000305,,69.33999634,72,70.98999786,,,71.05000305
Pakistan,PAK,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18300056,21.2310009,21.1060009,21.05400085,21.03300095,21.03499985,20.98699951,20.99699974,20.91399956,20.93300056,20.83300018,20.75099945,20.76000023,20.56100082,20.31800079,20.72999954,20.97500038,20.11199951,20.98500061,21.41799927,21.76799965,22.3390007,22.92200089,22.87299919,24.02000046,23.59199905,23.61899948,23.6420002
Pakistan,PAK,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.98699951,22.05599976,21.9470005,21.90999985,21.78800011,21.8560009,21.86199951,21.8939991,21.81800079,21.875,21.75900078,21.68000031,21.74300003,21.61199951,21.43099976,22.03100014,22.89900017,21.99600029,23.06100082,23.98699951,24.51000023,25.2840004,26.06500053,25.58600044,26.60899925,26.16200066,26.19599915,26.26000023
Pakistan,PAK,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.86999989,15.78299999,15.79399967,15.78199959,15.64000034,15.64400005,15.72500038,15.7510004,15.72700024,15.71199989,15.68999958,15.6590004,15.64799976,15.37300014,15.05900002,14.86999989,12.47099972,12.01799965,12.57800007,11.51500034,11.43099976,11.29100037,11.13700008,12.95899963,14.51599979,14.11499977,14.06599998,14.0539999
Pakistan,PAK,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10916.79785,11459.26074,11467.17969,11492.97461,11996.60938,12078.53516,11707.1709,11671.4209,11685.10547,11719.62988,11642.77246,11672.90234,11750.37598,12113.1416,12753.39063,13256.50195,13506.63867,13394.78223,13318.53613,13103.17773,13158.39355,13307.80566,13628.55371,13790.4209,14095.3252,14532.03223,14993.80469,15429.96094
Pakistan,PAK,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,,,,,,,,,,,,,31.62000084,,,,54.34999847,54.34999847,54.38000107,55.15999985,53.63999939,53.09000015,53.20000076,50.97000122,50.97000122,50.84000015,51.54000092,,51.49000168,41.79999924,49.79000092,47.5,47.68999863,47.45000076,46.93999863,48.38000107,,50.49000168,50.38000107,,48.86999893,,48.79000092,,49.5,,49.74060059,49.84609985,49.87229919,50.26490021,50.66439819,50.37049866,,49.93080139,50.06579971,50.17029953,,,48.91139984
Pakistan,PAK,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.79399872,83.76100159,82.43099976,82.7559967,82.57499695,82.70600128,82.82800293,82.50800323,82.75700378,83.04599762,82.83999634,82.57299805,82.69100189,82.83300018,81.67700195,80.45400238,80.3789978,79.98799896,79.76799774,79.52600098,79.08599854,78.87200165,78.38999939,78.70600128,78.86599731,79.05400085,79.35700226,79.46600342
Pakistan,PAK,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.619999886,6.079999924,5.230000019,5.699999809,6.400000095,5.75,,4.21999979,,,,,
Pakistan,PAK,"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.10099792,64.85600281,64.75099945,64.62200165,64.56700134,64.51100159,63.05599976,63.03499985,63.02299881,64.03700256,64.03700256,59.68600082,59.69400024,60.75999832,60.73500061,58.6609993,58.43199921,59.47700119,59.43099976,59.27999878,58.85599899,57.48400116,56.19599915,56.61299896,56.62799835,57.41400146,57.07500076,56.69400024
Pakistan,PAK,"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.63400269,75.28199768,75.10299683,74.76000214,75.16200256,74.77200317,66.63800049,74.79499817,74.67500305,66.56199646,66.5759964,62.68700027,62.50899887,68.80400085,68.63300323,73.35900116,75.09300232,77.30699921,77.52100372,79.28099823,78.61799622,77.0019989,75.33499908,73.44799805,75.13800049,75.87400055,75.43099976,74.88700104
